OrderID,DateKey,ProductID,GeoID,ChannelID,PromotionID,Quantity,UnitPrice,DiscountPct,GrossSales,DiscountAmount,NetSales,UnitCost,CostOfGoods,Profit
ORD-20210101-000001,20210101,1002,516,302,0,6,158.28,0.0,949.68,0.0,949.68,83.66,501.96,447.72
ORD-20210101-000002,20210101,1013,503,303,0,29,539.74,0.0,15652.46,0.0,15652.46,327.32,9492.28,6160.18
ORD-20210101-000003,20210101,1006,513,301,0,8,217.32,0.0,1738.56,0.0,1738.56,124.01,992.08,746.48
ORD-20210101-000004,20210101,1003,523,304,0,34,204.45,0.0,6951.3,0.0,6951.3,108.85,3700.9,3250.4
ORD-20210101-000005,20210101,1023,518,303,0,12,2441.4,0.0,29296.8,0.0,29296.8,1369.47,16433.64,12863.16
ORD-20210101-000006,20210101,1005,502,304,0,16,120.36,0.0,1925.76,0.0,1925.76,68.4,1094.4,831.36
ORD-20210101-000007,20210101,1006,511,301,0,11,217.32,0.0,2390.52,0.0,2390.52,124.01,1364.11,1026.41
ORD-20210101-000008,20210101,1019,516,302,0,24,2155.26,0.0,51726.24,0.0,51726.24,1243.92,29854.08,21872.16
ORD-20210101-000009,20210101,1017,502,302,0,54,357.47,0.0,19303.38,0.0,19303.38,208.24,11244.96,8058.42
ORD-20210101-000010,20210101,1012,506,301,0,21,852.4,0.0,17900.4,0.0,17900.4,495.07,10396.47,7503.93
ORD-20210101-000011,20210101,1004,522,302,0,3,186.71,0.0,560.13,0.0,560.13,107.66,322.98,237.15
ORD-20210102-000012,20210102,1023,509,303,0,11,2441.4,0.0,26855.4,0.0,26855.4,1369.47,15064.17,11791.23
ORD-20210102-000013,20210102,1012,523,302,0,3,852.4,0.0,2557.2,0.0,2557.2,495.07,1485.21,1071.99
ORD-20210102-000014,20210102,1005,506,302,0,49,120.36,0.0,5897.64,0.0,5897.64,68.4,3351.6,2546.04
ORD-20210102-000015,20210102,1020,521,301,0,10,1763.33,0.0,17633.3,0.0,17633.3,911.16,9111.6,8521.7
ORD-20210102-000016,20210102,1003,515,301,0,10,204.45,0.0,2044.5,0.0,2044.5,108.85,1088.5,956.0
ORD-20210102-000017,20210102,1020,502,304,0,75,1763.33,0.0,132249.75,0.0,132249.75,911.16,68337.0,63912.75
ORD-20210102-000018,20210102,1001,511,301,0,20,195.14,0.0,3902.8,0.0,3902.8,105.82,2116.4,1786.4
ORD-20210102-000019,20210102,1006,523,301,0,26,217.32,0.0,5650.32,0.0,5650.32,124.01,3224.26,2426.06
ORD-20210102-000020,20210102,1005,523,301,0,12,120.36,0.0,1444.32,0.0,1444.32,68.4,820.8,623.52
ORD-20210102-000021,20210102,1023,521,303,0,4,2441.4,0.0,9765.6,0.0,9765.6,1369.47,5477.88,4287.72
ORD-20210102-000022,20210102,1022,510,301,0,2,1209.05,0.0,2418.1,0.0,2418.1,672.03,1344.06,1074.04
ORD-20210102-000023,20210102,1007,502,303,0,57,193.73,0.0,11042.61,0.0,11042.61,110.72,6311.04,4731.57
ORD-20210102-000024,20210102,1023,504,301,0,6,2441.4,0.0,14648.4,0.0,14648.4,1369.47,8216.82,6431.58
ORD-20210102-000025,20210102,1004,512,304,0,112,186.71,0.0,20911.52,0.0,20911.52,107.66,12057.92,8853.6
ORD-20210102-000026,20210102,1006,518,305,0,16,217.32,0.0,3477.12,0.0,3477.12,124.01,1984.16,1492.96
ORD-20210102-000027,20210102,1001,504,301,0,32,195.14,0.0,6244.48,0.0,6244.48,105.82,3386.24,2858.24
ORD-20210103-000028,20210103,1018,512,301,0,39,627.63,0.0,24477.57,0.0,24477.57,368.52,14372.28,10105.29
ORD-20210103-000029,20210103,1019,502,301,0,63,2155.26,0.0,135781.38,0.0,135781.38,1243.92,78366.96,57414.42
ORD-20210103-000030,20210103,1008,505,302,0,47,196.47,0.0,9234.09,0.0,9234.09,129.1,6067.7,3166.39
ORD-20210103-000031,20210103,1006,522,301,0,21,217.32,0.0,4563.72,0.0,4563.72,124.01,2604.21,1959.51
ORD-20210103-000032,20210103,1017,502,301,0,131,357.47,0.0,46828.57,0.0,46828.57,208.24,27279.44,19549.13
ORD-20210103-000033,20210103,1014,523,303,0,10,620.24,0.0,6202.4,0.0,6202.4,337.6,3376.0,2826.4
ORD-20210103-000034,20210103,1020,501,301,0,16,1763.33,0.0,28213.28,0.0,28213.28,911.16,14578.56,13634.72
ORD-20210103-000035,20210103,1005,510,302,0,26,120.36,0.0,3129.36,0.0,3129.36,68.4,1778.4,1350.96
ORD-20210103-000036,20210103,1007,508,303,0,28,193.73,0.0,5424.44,0.0,5424.44,110.72,3100.16,2324.28
ORD-20210103-000037,20210103,1005,504,303,0,81,120.36,0.0,9749.16,0.0,9749.16,68.4,5540.4,4208.76
ORD-20210104-000038,20210104,1014,503,303,0,20,620.24,0.0,12404.8,0.0,12404.8,337.6,6752.0,5652.8
ORD-20210104-000039,20210104,1022,503,301,0,18,1209.05,0.0,21762.9,0.0,21762.9,672.03,12096.54,9666.36
ORD-20210104-000040,20210104,1003,501,301,0,11,204.45,0.0,2248.95,0.0,2248.95,108.85,1197.35,1051.6
ORD-20210104-000041,20210104,1014,515,301,0,4,620.24,0.0,2480.96,0.0,2480.96,337.6,1350.4,1130.56
ORD-20210104-000042,20210104,1013,521,304,0,36,539.74,0.0,19430.64,0.0,19430.64,327.32,11783.52,7647.12
ORD-20210104-000043,20210104,1005,511,302,0,4,120.36,0.0,481.44,0.0,481.44,68.4,273.6,207.84
ORD-20210104-000044,20210104,1007,510,301,0,5,193.73,0.0,968.65,0.0,968.65,110.72,553.6,415.05
ORD-20210104-000045,20210104,1022,502,304,0,146,1209.05,0.0,176521.3,0.0,176521.3,672.03,98116.38,78404.92
ORD-20210104-000046,20210104,1023,519,303,0,21,2441.4,0.0,51269.4,0.0,51269.4,1369.47,28758.87,22510.53
ORD-20210105-000047,20210105,1013,520,302,0,24,539.74,0.0,12953.76,0.0,12953.76,327.32,7855.68,5098.08
ORD-20210105-000048,20210105,1017,505,301,0,24,357.47,0.0,8579.28,0.0,8579.28,208.24,4997.76,3581.52
ORD-20210105-000049,20210105,1005,507,301,0,18,120.36,0.0,2166.48,0.0,2166.48,68.4,1231.2,935.28
ORD-20210105-000050,20210105,1008,515,301,0,17,196.47,0.0,3339.99,0.0,3339.99,129.1,2194.7,1145.29
ORD-20210105-000051,20210105,1012,506,302,0,95,852.4,0.0,80978.0,0.0,80978.0,495.07,47031.65,33946.35
ORD-20210105-000052,20210105,1017,519,302,0,26,357.47,0.0,9294.22,0.0,9294.22,208.24,5414.24,3879.98
ORD-20210105-000053,20210105,1019,504,303,0,28,2155.26,0.0,60347.28,0.0,60347.28,1243.92,34829.76,25517.52
ORD-20210105-000054,20210105,1016,502,303,0,24,252.72,0.0,6065.28,0.0,6065.28,128.58,3085.92,2979.36
ORD-20210105-000055,20210105,1003,523,303,0,8,204.45,0.0,1635.6,0.0,1635.6,108.85,870.8,764.8
ORD-20210105-000056,20210105,1020,519,304,0,8,1763.33,0.0,14106.64,0.0,14106.64,911.16,7289.28,6817.36
ORD-20210106-000057,20210106,1004,511,302,0,6,186.71,0.0,1120.26,0.0,1120.26,107.66,645.96,474.3
ORD-20210106-000058,20210106,1013,518,303,0,6,539.74,0.0,3238.44,0.0,3238.44,327.32,1963.92,1274.52
ORD-20210106-000059,20210106,1023,502,301,0,52,2441.4,0.0,126952.8,0.0,126952.8,1369.47,71212.44,55740.36
ORD-20210106-000060,20210106,1018,508,303,0,17,627.63,0.0,10669.71,0.0,10669.71,368.52,6264.84,4404.87
ORD-20210106-000061,20210106,1022,518,301,0,11,1209.05,0.0,13299.55,0.0,13299.55,672.03,7392.33,5907.22
ORD-20210106-000062,20210106,1006,503,301,0,6,217.32,0.0,1303.92,0.0,1303.92,124.01,744.06,559.86
ORD-20210106-000063,20210106,1008,516,302,0,27,196.47,0.0,5304.69,0.0,5304.69,129.1,3485.7,1818.99
ORD-20210106-000064,20210106,1020,509,301,0,31,1763.33,0.0,54663.23,0.0,54663.23,911.16,28245.96,26417.27
ORD-20210106-000065,20210106,1023,502,304,0,136,2441.4,0.0,332030.4,0.0,332030.4,1369.47,186247.92,145782.48
ORD-20210107-000066,20210107,1018,501,302,0,28,627.63,0.0,17573.64,0.0,17573.64,368.52,10318.56,7255.08
ORD-20210107-000067,20210107,1011,508,301,0,43,491.02,0.0,21113.86,0.0,21113.86,250.08,10753.44,10360.42
ORD-20210107-000068,20210107,1020,502,305,0,8,1763.33,0.0,14106.64,0.0,14106.64,911.16,7289.28,6817.36
ORD-20210107-000069,20210107,1021,502,305,0,59,2016.18,0.0,118954.62,0.0,118954.62,1132.3,66805.7,52148.92
ORD-20210107-000070,20210107,1017,502,304,0,111,357.47,0.0,39679.17,0.0,39679.17,208.24,23114.64,16564.53
